ID,Nome,Tipo
26676,Painel do sistema:Vazio:960573,IfcPlate
26688,Painel do sistema:Vazio:960575,IfcPlate
26700,Painel do sistema:Vazio:960577,IfcPlate
26712,Painel do sistema:Vazio:960579,IfcPlate
26724,Painel do sistema:Vazio:960581,IfcPlate
26749,Montante retangular:50 x 150mm telhado axiom:960541,IfcMember
26774,Montante retangular:50 x 150mm telhado axiom:960542,IfcMember
26786,Montante retangular:50 x 150mm telhado axiom:960543,IfcMember
26798,Montante retangular:50 x 150mm telhado axiom:960589,IfcMember
26810,Montante retangular:50 x 150mm telhado axiom:960590,IfcMember
26822,Montante retangular:50 x 150mm telhado axiom:960591,IfcMember
26834,Montante retangular:50 x 150mm telhado axiom:960592,IfcMember
26846,Montante retangular:50 x 150mm telhado axiom:960593,IfcMember
26858,Montante retangular:50 x 150mm telhado axiom:960594,IfcMember
26870,Montante retangular:50 x 150mm telhado axiom:960595,IfcMember
26882,Montante retangular:50 x 150mm telhado axiom:960596,IfcMember
26894,Montante retangular:50 x 150mm telhado axiom:960597,IfcMember
27387,Fascia:Frontão:960613,IfcBuildingElementProxy
27691,PORTA DE ABRIR - 1 FOLHA:100 x 250:961108,IfcDoor
27722,Concreto-Viga Retangular:45 x 126mm 2:962371,IfcBeam
27760,Concreto-Viga Retangular:45 x 126mm 2:962573,IfcBeam
27800,M_Dimension Lumber-Column:45x120:963667,IfcColumn
27834,M_Dimension Lumber-Column:45x120:963772,IfcColumn
27863,Concreto-Viga Retangular:45 x 126mm 2:964967,IfcBeam
27890,Concreto-Viga Retangular:45 x 126mm 2:964982,IfcBeam
27918,Concreto-Viga Retangular:45 x 126mm 2:965001,IfcBeam
27946,Concreto-Viga Retangular:45 x 126mm 2:965070,IfcBeam
27973,Concreto-Viga Retangular:45 x 126mm 2:965083,IfcBeam
28002,Concreto-Viga Retangular:45 x 126mm 2:965889,IfcBeam
28033,M_Dimension Lumber-Column:150 x 150:966376,IfcColumn
28066,M_Dimension Lumber-Column:150 x 150:966432,IfcColumn
28095,Concreto-Viga Retangular:90 x 190:966849,IfcBeam
28176,Concreto-Viga Retangular:90 x 190:967505,IfcBeam
28252,Concreto-Viga Retangular:90 x 190:967507,IfcBeam
28328,Concreto-Viga Retangular:90 x 190:967509,IfcBeam
28404,Concreto-Viga Retangular:90 x 190:967511,IfcBeam
28480,Concreto-Viga Retangular:90 x 190:967513,IfcBeam
28556,Concreto-Viga Retangular:90 x 190:967515,IfcBeam
28632,Concreto-Viga Retangular:90 x 190:967517,IfcBeam
28708,Concreto-Viga Retangular:90 x 190:967519,IfcBeam
28784,Concreto-Viga Retangular:90 x 190:967521,IfcBeam
28860,Concreto-Viga Retangular:90 x 190:967523,IfcBeam
28875,Sloped Glazing:Vidraça inclinada 2:977206,IfcRoof
28898,Painel do sistema:Envidraçado:977212,IfcPlate
