ID,Nome,Tipo,GlobalId,Descrição,Modelo,Unidade de Medida
6877,PORTA DE ABRIR - 1 FOLHA:60 x 210:873588,IfcDoor,3VgqswZ81AMBeIOGo7Vtut,,PORTA DE ABRIR - 1 FOLHA:60 x 210,N/A
7180,PORTA DE ABRIR - 1 FOLHA:70 x 210:873925,IfcDoor,3VgqswZ81AMBeIOGo7Vt_6,,PORTA DE ABRIR - 1 FOLHA:70 x 210,N/A
7219,Basic Wall:15cm - Pintura Branca / Pintura Branca:879199,IfcWallStandardCase,03qet589T0XfjI4ToQSw8m,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
7229,Basic Wall:15cm - Pintura Branca / Pintura Branca:879199:1,IfcOpeningElement,2oCu5yam4hDp19R1aBfXbl,,Opening,N/A
7243,Basic Wall:15cm - Pintura Branca / Pintura Branca:879199,IfcOpeningElement,0kWMwplFu7BVYxTjyTqQmc,,Opening,N/A
7289,M_Dimension Lumber-Column:200x150:880162,IfcColumn,16SpyTjgL9LQpDyJaq5m4T,,M_Dimension Lumber-Column:200x150,N/A
8181,Porta de correr - vidro c.perfil 4 folhas:4.8x2.7:881036,IfcDoor,16SpyTjgL9LQpDyJaq5nwp,,Porta de correr - vidro c.perfil 4 folhas:4.8x2.7,N/A
9595,Porta de correr dupla envidraçada com revestimento:160 x 210cm:883763,IfcDoor,18YYWOC39Fbxe$h9ext$BM,,Porta de correr dupla envidraçada com revestimento:160 x 210cm,N/A
11009,Porta de correr dupla envidraçada com revestimento:160 x 210cm:883963,IfcDoor,18YYWOC39Fbxe$h9ext$8U,,Porta de correr dupla envidraçada com revestimento:160 x 210cm,N/A
11159,PORTA DE VIDRO COM ESQUADRIA DE CORRER - 4 FOLHAS:320 x 210:889036,IfcDoor,18YYWOC39Fbxe$h9extnuf,,PORTA DE VIDRO COM ESQUADRIA DE CORRER - 4 FOLHAS:320 x 210,N/A
11174,Sloped Glazing:Vidraça inclinada:893434,IfcRoof,10UXJtgpbAPA$s5ElOM4Fv,,Sloped Glazing:Vidraça inclinada,N/A
11207,Painel do sistema:Vazio:893480,IfcPlate,10UXJtgpbAPA$s5ElOM40h,,Painel do sistema:Vazio,N/A
11219,Painel do sistema:Vazio:893503,IfcPlate,10UXJtgpbAPA$s5ElOM40y,,Painel do sistema:Vazio,N/A
11231,Painel do sistema:Vazio:893505,IfcPlate,10UXJtgpbAPA$s5ElOM412,,Painel do sistema:Vazio,N/A
11243,Painel do sistema:Vazio:893507,IfcPlate,10UXJtgpbAPA$s5ElOM410,,Painel do sistema:Vazio,N/A
11255,Painel do sistema:Vazio:893509,IfcPlate,10UXJtgpbAPA$s5ElOM416,,Painel do sistema:Vazio,N/A
11267,Painel do sistema:Vazio:893511,IfcPlate,10UXJtgpbAPA$s5ElOM414,,Painel do sistema:Vazio,N/A
